,ID,Name,Alias,Gender,Hair Color,Love Rank,Hate Rank,Eye color,Birthday,Blood Type,Tags,Love Count,Hate Count,Description,url,anime
3646,3646,Ryuichi SAKUMA,Unknown,Male,Brown,4.693,14.117,Unknown,Unknown,Unknown,"Adults, Band Members, Piercings, Singers, Verbal Tic",518.0,30,"Ryuichi Sakuma is the vocalist for the wildly successful band Nittle Grasper, and he is Shuichi Shindou's role model. While he is a charismatic performer onstage, offstage he has a child-like and playful demeanor. He is often seen with his pink stuffed bunny Kumagoro.",https://www.anime-planet.com/characters/ryuichi-sakuma,Gravitation
3650,3650,Chinami OKA,Miss Ultrasonic,Female,Pink,2.419,7.662,Blue,Unknown,Unknown,"Rosy Cheeks, Teenagers, University Students",995.0,65,Unknown,https://www.anime-planet.com/characters/chinami-oka,Golden Time
3651,3651,Neyn HYDRA,Unknown,Female,Unknown,7.51,10.101,Unknown,Unknown,Unknown,"Demons, Heterochromia",301.0,47,Unknown,https://www.anime-planet.com/characters/neyn-hydra,Blood Lad
3652,3652,Colt,Unknown,Male,Black,3.137,6.358,Grey,Unknown,Unknown,"Animals, Insects, Pointy Ears, Wings",773.0,81,Unknown,https://www.anime-planet.com/characters/colt,Hunter x Hunter (2011)
3654,3654,Hakkai CHO,Unknown,Male,Brown,5.695,38.587,Unknown,Unknown,Unknown,"Piercings, Monocles, Headbands, Travelers, Orphans, Demons",418.0,6,Unknown,https://www.anime-planet.com/characters/hakkai-cho,Saiyuki
3656,3656,Octavia,Unknown,Female,Blonde,6.834,107.656,Unknown,Unknown,Unknown,"Military, Sword Fighters, Knights",337.0,Unknown,"Octavia is a knight of the Holy Empire who serves under Gaius. She doesn’t always believe with the Empire’s ideals, but always follows her orders.",https://www.anime-planet.com/characters/octavia,Tears to Tiara
3662,3662,Sullivan,Sariban,Male,Unknown,5.072,38.076,Unknown,Unknown,Unknown,"School Principals, Pointy Ears, Magnificent Mustaches, Magic Users, Horns, Glasses, Facial Hair, Demon Kings, Closed Eyes, Bald",477.0,7,Unknown,https://www.anime-planet.com/characters/sullivan-mairimashita-iruma-kun,"Welcome to Demon School, Iruma-kun"
3664,3664,Takeru TOTSUKA,Susanoo,Male,Blue,3.401,19.793,Unknown,Unknown,Unknown,"Deities, Headbands, Hot-Headed",718.0,19,Unknown,https://www.anime-planet.com/characters/takeru-totsuka,Kamigami no Asobi
3668,3668,Kyosuke TAKAKURA,Unknown,Male,Black,3.208,13.493,Unknown,Unknown,Unknown,"Adults, Dreadlocks, Facial Hair, Piercings, Smokers, Sunglasses",757.0,32,Unknown,https://www.anime-planet.com/characters/kyosuke-takakura,Nana
3671,3671,Hime YARISAKURA,"Dragon, Mayor",Female,Black,7.067,33.216,Unknown,Unknown,Unknown,"Youkai, Teenagers, Politicians, Scarves",325.0,8,"At the tender age of sixteen, Hime assumes the role of Mayor of Sakurashin town after her grandmother, the old mayor, passed away. The eternally-scarfed teen is often seen hopping building to building as she patrols the city, and helping the Hiizumi Life Counseling Office, which her childhood friend Akina Hiizumi runs. A terrible glutton, Hime especially adores ramen, and complains loudly when she is hungry.",https://www.anime-planet.com/characters/hime-yarisakura,Yozakura Quartet
3673,3673,Mamoru,Unknown,Male,Brown,4.559,24.183,Brown,Unknown,Unknown,Unknown,536.0,14,Unknown,https://www.anime-planet.com/characters/mamoru-kamisama-hajimemashita-2,Kamisama Kiss 2nd Season
3680,3680,Opera,Unknown,Unknown,Red,4.279,38.078,Unknown,Unknown,Unknown,"Tails, Pointy Ears, Demons, Braids, Animal Ears",574.0,7,Unknown,https://www.anime-planet.com/characters/opera-mairimashita-iruma-kun,"Welcome to Demon School, Iruma-kun"
3687,3687,Kouhei HASEKURA,Unknown,Male,Black,7.021,17.135,Unknown,Unknown,Unknown,"High School Students, Teenagers, Transfer Students",327.0,23,Unknown,https://www.anime-planet.com/characters/kouhei-hasekura,Fortune Arterial
3689,3689,Tatsuma HIYUU,Unknown,Male,Blue,7.278,54.248,Unknown,Unknown,Unknown,"High School Students, Martial Artists, Teenagers",314.0,3,Unknown,https://www.anime-planet.com/characters/tatsuma-hiyuu,Tokyo Majin
3690,3690,Min-Soo,Unknown,Male,Brown,6.586,23.042,Unknown,Unknown,Unknown,Headbands,353.0,15,Unknown,https://www.anime-planet.com/characters/min-soo,Yona of the Dawn
3692,3692,Icarus,Unknown,Male,Unknown,4.744,3.85,Unknown,Unknown,Unknown,"Dragons, Horns, Wings",512.0,133,Unknown,https://www.anime-planet.com/characters/icarus-dragon-ball-z,Dragon Ball Z
3697,3697,Burupya,Unknown,Male,Pink,2.804,16.584,Unknown,Unknown,Unknown,"Animals, Scars, Wings",864.0,24,"Small, friendly and utterly adorable, Burupya is used by the church to cheer up people who are down in the dumps. He especially loves chowing down on Labrador's flowers!",https://www.anime-planet.com/characters/burupya,07-Ghost
3699,3699,Kaname ASAHINA,Unknown,Male,Blonde,4.335,3.176,Unknown,"May 28, 1983",O,"Adults, Monks, Piercings",564.0,162,Unknown,https://www.anime-planet.com/characters/kaname-asahina,Brothers Conflict
3701,3701,Ggio VEGA,Unknown,Male,Black,4.17,1.24,Yellow,May 7,Unknown,"Masks, Sword Fighters",590.0,367,Unknown,https://www.anime-planet.com/characters/ggio-vega,Bleach
3706,3706,Marl,Unknown,Female,Blue,2.554,6.994,Unknown,Unknown,Unknown,"Animals, Cats, Anthropomorphic",944.0,72,Unknown,https://www.anime-planet.com/characters/marl-fairy-tail,Fairy Tail
3707,3707,Nanashi,Unknown,Male,Multicolored,2.843,10.765,Unknown,Unknown,Unknown,"Cats, Shy",854.0,43,Unknown,https://www.anime-planet.com/characters/nanashi-clannad,Clannad
3709,3709,Ai MIKAZE,Unknown,Male,Turquoise,4.254,13.009,Turquoise,March 1,Unknown,"Musicians, Idols",577.0,34,Unknown,https://www.anime-planet.com/characters/ai-mikaze,QUARTET NIGHT: Force Live
3710,3710,Akira,Lost,Male,Grey,3.823,16.593,Unknown,Unknown,Unknown,Orphans,642.0,24,Unknown,https://www.anime-planet.com/characters/akira-togainu-no-chi,Togainu no Chi
3714,3714,Hotohori,Unknown,Male,Black,4.352,10.953,Brown,April 2,Unknown,"Adults, Big Ego, Royalty, Sword Fighters, Warriors",562.0,42,"Hotohori, also known as Saihitei is the fourth Emperor of Konan. Succeeding the throne at age 14, he spent a lonely childhood learning the prophecy of the Priestess of Suzaku and falling in love with her legacy. As the Emperor, he appears to be rather reserved and harsh, although he puts the well-being of his empire first over his personal luxuries. With those he trusts and loves, he is a very warm and gentle person. Unfortunately, his weak point is his narcissism due to his unrivalled beauty.",https://www.anime-planet.com/characters/hotohori,Fushigi Yugi OVA
3716,3716,Hayato HAYAMA,Unknown,Male,Blonde,4.128,1.137,Unknown,Unknown,Unknown,"Athletes, Charismatic, Eternal Optimists, High School Students, Soccer Players, Teenagers",596.0,393,Unknown,https://www.anime-planet.com/characters/hayato-hayama,My Teen Romantic Comedy SNAFU
3718,3718,Natsu TANIMOTO,Unknown,Male,Blonde,4.016,7.432,Unknown,Unknown,Unknown,"Actors, High School Students, Teenagers",611.0,67,Unknown,https://www.anime-planet.com/characters/natsu-tanimoto,History's Strongest Disciple Kenichi
3719,3719,Dionysus THYRSOS,Unknown,Male,Magenta,5.326,25.313,Unknown,Unknown,Unknown,Deities,452.0,13,Unknown,https://www.anime-planet.com/characters/dionysus-thyrsos,Kamigami no Asobi
3720,3720,Azusa FUJISAKI,Unknown,Female,Black,6.633,11.225,Unknown,Unknown,Unknown,"High School Students, Pigtails, Teenagers",350.0,41,Unknown,https://www.anime-planet.com/characters/azusa-fujisaki,Beelzebub
3721,3721,Jura NEKIS,Unknown,Male,Unknown,2.633,3.0,Unknown,Unknown,Unknown,"Muscular, Magic Users, Dark-skinned, Bald, Adults, Earth Powers, Elemental Powers",918.0,171,Unknown,https://www.anime-planet.com/characters/jura-nekis,Fairy Tail
3722,3722,Seiran SHI,Unknown,Male,Grey,4.399,33.088,Unknown,Unknown,Unknown,"Sword Fighters, Adults",556.0,8,Unknown,https://www.anime-planet.com/characters/seiran-shi,The Story of Saiunkoku
3723,3723,Hakuei REN,Unknown,Female,Black,2.831,14.243,Unknown,Unknown,Unknown,"Royalty, Moles, Magic Users, Rapunzel Hair",857.0,30,Unknown,https://www.anime-planet.com/characters/hakuei-ren,Magi: The Kingdom of Magic
3727,3727,Kabane KUSAKA,Dorotabo,Male,Black,3.7,45.795,Red,June 15,Unknown,"Demons, Gloves, Half-Breeds, Stoic, Teenagers, Youkai",663.0,5,Unknown,https://www.anime-planet.com/characters/kabane-kusaka,Kemono Jihen
3728,3728,Tanda,Unknown,Male,Black,6.548,28.926,Unknown,Unknown,Unknown,"Adults, Doctors",355.0,10,Unknown,https://www.anime-planet.com/characters/tanda,Moribito: Guardian of the Spirit
3733,3733,Haruka KURAN,Unknown,Male,Brown,6.185,19.505,Unknown,Unknown,Unknown,Vampires,380.0,19,Unknown,https://www.anime-planet.com/characters/haruka-kuran,Vampire Knight Guilty
3738,3738,Yuka HANAZAWA,Unknown,Female,Orange,3.429,8.574,Unknown,May 25,B,"Teenagers, Kansai Dialect, High School Students, Delinquents",712.0,57,Unknown,https://www.anime-planet.com/characters/yuka-hanazawa,Beelzebub
3744,3744,Akane HYAKUYA,Unknown,Female,Brown,4.887,13.368,Unknown,Unknown,Unknown,"Children, Ponytail, Chokers, Braids",495.0,33,Unknown,https://www.anime-planet.com/characters/akane-hyakuya,Seraph of the End
3750,3750,Kippei KATAKURA,Unknown,Male,Blonde,4.102,20.865,Unknown,Unknown,Unknown,"Flirts, High School Students, Piercings, Teenagers",601.0,17,Unknown,https://www.anime-planet.com/characters/kippei-katakura,Aishiteruze Baby
3752,3752,Misaki OGA,Unknown,Female,Black,6.584,14.522,Unknown,Unknown,Unknown,Teenagers,353.0,29,Unknown,https://www.anime-planet.com/characters/misaki-oga,Beelzebub
3756,3756,Rouge The Bat,Unknown,Female,White,6.836,8.691,Unknown,Unknown,Unknown,"Thieves, Treasure Hunters, Animals, Flirts, Teenagers, Wings, Gloves, Anthropomorphic, Bats",337.0,56,Unknown,https://www.anime-planet.com/characters/rouge-the-bat,Sonic X
3761,3761,Kanade YUUKI,Unknown,Female,Brown,7.383,12.398,Unknown,Unknown,Unknown,"Hair Antenna, Hats, High School Students, Teenagers, Dormitory Heads",307.0,36,Unknown,https://www.anime-planet.com/characters/kanade-yuuki,Fortune Arterial
3762,3762,Azuma,Unknown,Male,Brown,4.202,1.07,Unknown,Unknown,Unknown,"Piercings, Magic Users, Facial Hair, Dark-skinned, Elemental Powers, Nature Powers",585.0,416,Unknown,https://www.anime-planet.com/characters/azuma-fairy-tail,Fairy Tail
3763,3763,Heads HYDRA,Unknown,Male,Grey,6.791,22.137,Unknown,Unknown,Unknown,Demons,340.0,16,Unknown,https://www.anime-planet.com/characters/heads-hydra,Blood Lad
3768,3768,Ranmaru KUROSAKI,Unknown,Male,Grey,4.835,17.862,Grey Magenta,September 29,A,"Musicians, Idols, Heterochromia, Big Eaters, Bassists, Adults",501.0,22,Unknown,https://www.anime-planet.com/characters/ranmaru-kurosaki,QUARTET NIGHT: Force Live
3769,3769,Libertà,Unknown,Male,Blonde,3.622,13.287,Unknown,Unknown,Unknown,"Gangsters, Orphans, Piercings, Superpowers, Sword Fighters, Teenagers",676.0,33,Unknown,https://www.anime-planet.com/characters/liberta,La Storia Della Arcana Famiglia
3770,3770,Keel,Unknown,Female,Multicolored,7.43,28.342,Unknown,Unknown,Unknown,Animal Ears,305.0,11,Unknown,https://www.anime-planet.com/characters/keel-the-rising-of-the-shield-hero,The Rising of the Shield Hero
3771,3771,Falangies,Unknown,Female,Black,4.543,25.396,Unknown,Unknown,Unknown,"Archers, Priests",537.0,13,Unknown,https://www.anime-planet.com/characters/falangies,Kigyou Senshi Arslan
3779,3779,Shuurei KOU,Unknown,Female,Blue,4.224,15.697,Unknown,Unknown,Unknown,"Teenagers, Nobility, Musicians",582.0,26,Unknown,https://www.anime-planet.com/characters/shuurei-kou,The Story of Saiunkoku
3782,3782,Chagum,Unknown,Male,Black,5.927,14.434,Unknown,Unknown,Unknown,"Children, Royalty",399.0,29,Unknown,https://www.anime-planet.com/characters/chagum,Moribito: Guardian of the Spirit
3786,3786,Bardwin Cicil IFRIKIA,Unknown,Male,Blonde,7.416,8.925,Unknown,Unknown,Unknown,"Adults, Charismatic, Flirts, Musicians, Piercings, Royalty, Travelers, Traveling Performers",306.0,55,Unknown,https://www.anime-planet.com/characters/bardwin-cicil-ifrikia,The World is Still Beautiful
3787,3787,Ada VESSALIUS,Unknown,Female,Blonde,2.618,2.506,Unknown,Unknown,Unknown,"Nobility, Shy",923.0,201,Unknown,https://www.anime-planet.com/characters/ada-vessalius,Pandora Hearts
3790,3790,Great Sage,Unknown,Unknown,Unknown,3.843,52.647,Unknown,Unknown,Unknown,Unknown,639.0,4,Unknown,https://www.anime-planet.com/characters/great-sage-that-time-i-got-reincarnated-as-a-slime,That Time I Got Reincarnated as a Slime
3791,3791,Chiyochichi,Chiyo's Father,Male,Unknown,2.86,5.704,Unknown,Unknown,Unknown,Unknown,848.0,90,Unknown,https://www.anime-planet.com/characters/chiyochichi,Azumanga Daioh
3793,3793,Lamia,Unknown,Female,Pink,4.346,3.348,Unknown,Unknown,Unknown,Demons,563.0,154,Unknown,https://www.anime-planet.com/characters/lamia-beelzebub,Beelzebub
3797,3797,Kazuki KOSUDA,Unknown,Female,Red,3.982,18.198,Unknown,Unknown,Unknown,"Adults, University Students",617.0,21,Unknown,https://www.anime-planet.com/characters/kazuki-kosuda,Yamada's First Time: B Gata H Kei
3800,3800,Juli,Unknown,Male,Multicolored,3.481,2.174,Unknown,Unknown,Unknown,"Animals, Hot-Headed",700.0,227,Unknown,https://www.anime-planet.com/characters/juli-brothers-conflict,Brothers Conflict
3802,3802,Hirato,Unknown,Male,Black,2.751,22.098,Brown,October 22,AB,"Adults, Circus Performers, Glasses, Summoners",878.0,16,Unknown,https://www.anime-planet.com/characters/hirato,Karneval
3803,3803,Nagisa SENA,Unknown,Female,Purple,6.952,9.176,Purple,August 1,B,"Actors, Adults",331.0,53,Unknown,https://www.anime-planet.com/characters/nagisa-sena,Love Stage!!
3805,3805,Ayanami,Unknown,Male,White,3.862,611.0,Unknown,Unknown,Unknown,"Adults, Hats, Magic Users, Manipulative, Military, Ruthless, Sadistic",635.0,649,"Unfeeling and cruel, Ayanami is the Chief of Staff of Barsburg Empire. He oversees all new cadets entering into the Zaiphon squad of the Barsburg army, and holds great power in the empire, directing most military offensives. Once Ayanami has his sights set on someone, it is virtually impossible to change his mind.",https://www.anime-planet.com/characters/ayanami,07-Ghost
3806,3806,Marshmallow,Unknown,Unknown,White,4.683,31.507,Unknown,Unknown,Unknown,"Animals, Cats",520.0,9,Unknown,https://www.anime-planet.com/characters/marshmallow,"Say ""I love you."""
3807,3807,Kota KUNIEDA,Unknown,Male,Black,6.261,13.547,Unknown,Unknown,Unknown,"Hats, Babies",375.0,32,Unknown,https://www.anime-planet.com/characters/kota-kunieda,Beelzebub
3808,3808,Boris AIRAY,Unknown,Male,Magenta,4.641,30.906,Unknown,Unknown,Unknown,"Animal Ears, Blinding Bangs, Face Markings, Piercings",524.0,9,"Loosely based on the Cheshire Cat, Boris is a catboy who lives at the amusement park with Mary Gowland. He can frequently be seen with the twins Dee and Dum.",https://www.anime-planet.com/characters/boris-airay,Alice in the Country of Hearts: Wonderful Wonder World
3809,3809,Bete LOGA,Vanargand,Male,Grey,3.969,1.879,Orange,Unknown,Unknown,"Adults, Animal Ears, Chokers, Face Markings, Hot-Headed, Muscular, Tails",619.0,262,Unknown,https://www.anime-planet.com/characters/bete-loga,Is It Wrong to Try to Pick Up Girls in a Dungeon?
3813,3813,Kiyomi TAKADA,Unknown,Female,Black,3.641,228.0,Blue,"July 12, 1985",AB,"Adults, Reporters",672.0,1.374,Unknown,https://www.anime-planet.com/characters/kiyomi-takada,Death Note
3814,3814,Sephiria ARKS,Unknown,Female,Blonde,7.463,7.621,Unknown,January 1,A,"Assassins, Sword Fighters",303.0,65,Unknown,https://www.anime-planet.com/characters/sephiria-arks,Black Cat
3817,3817,Darry ADAI,Unknown,Female,Pink,2.878,6.756,Unknown,Unknown,Unknown,"Orphans, Ponytail, Twins",844.0,75,"Darry, along with her twin brother Gimmy , were the only orphans living in Aday Village until they were cast out due to an unbreakable rule. She shares a deep bond with her brother and enjoys traveling with Simon and the gang.",https://www.anime-planet.com/characters/darry-adai,Gurren Lagann Movie 1: Childhood's End
3819,3819,Gimmy ADAI,Unknown,Male,Orange,3.299,5.655,Unknown,Unknown,Unknown,"Freckles, Orphans, Twins",738.0,91,"Gimmy, along with his twin sister Darry , were the only orphans living in Aday Village until they were cast out due to an unbreakable rule. He shares a deep bond with his sister and enjoys traveling with Simon and the gang.",https://www.anime-planet.com/characters/gimmy-adai,Gurren Lagann Movie 1: Childhood's End
3820,3820,Pacifica CASULL,"Providence Breaker, Scrapped Princess",Female,Blonde,7.462,11.861,Unknown,Unknown,Unknown,"Pacifists, Royalty, Teenagers, Travelers, Twins",303.0,38,Unknown,https://www.anime-planet.com/characters/pacifica-casull,Scrapped Princess
3822,3822,James HAWKING,Jim,Male,Blonde,5.403,18.21,Unknown,Unknown,Unknown,"Children, Mechanics",445.0,21,Unknown,https://www.anime-planet.com/characters/james-hawking,Outlaw Star
3825,3825,Female Knight,Onna Kishi,Female,Blonde,3.865,13.305,Unknown,Unknown,Unknown,"Sword Fighters, Ponytail, Nuns, Knights, Freckles, Braids",635.0,33,Unknown,https://www.anime-planet.com/characters/female-knight,Maoyu: Archenemy & Hero
3829,3829,Nina ANTALK,Unknown,Female,Blonde,4.193,4.112,Unknown,Unknown,Unknown,"Dual Wielders, Hair Antenna, Hot-Headed, Military",586.0,125,Unknown,https://www.anime-planet.com/characters/nina-antalk,Chrome Shelled Regios
3833,3833,Kinon BACHIKA,Unknown,Female,Brown,4.525,1.847,Unknown,Unknown,Unknown,Glasses,539.0,264,"The middle of the three sisters, Kinon is one of the four Black Siblings along with Kiyoh , Kiyal and Kittan . She, like her sisters, is enamored with Kamina and his manly nature.",https://www.anime-planet.com/characters/kinon-bachika,Gurren Lagann Movie 1: Childhood's End
3837,3837,Kisara NANJO,Valkyrie,Female,Red,2.423,10.199,Unknown,Unknown,Unknown,"Animal Lovers, Hats, Martial Artists, Teenagers, Tomboys",991.0,46,Unknown,https://www.anime-planet.com/characters/kisara-nanjo,History's Strongest Disciple Kenichi
3838,3838,Touka,Unknown,Female,Purple,4.884,38.675,Unknown,Unknown,Unknown,"Warriors, Sword Fighters, Ponytail, Animal Ears, Honorable Fighters",495.0,6,Unknown,https://www.anime-planet.com/characters/touka,Utawarerumono
3842,3842,Cecily CAMBELL,Unknown,Female,Red,3.412,6.532,Magenta,Unknown,Unknown,"Teenagers, Headbands, Sword Fighters, Knights, Capes, Armor, Gloves, Clumsy",714.0,78,Unknown,https://www.anime-planet.com/characters/cecily-cambell,Cat Planet Cuties
3843,3843,Hero,Yuusha,Male,Brown,3.023,13.304,Unknown,Unknown,Unknown,"Sword Fighters, Magic Users, Chokers, Warriors",802.0,33,Unknown,https://www.anime-planet.com/characters/hero,Maoyu: Archenemy & Hero
3845,3845,Andrew WALTFELD,Unknown,Male,Brown,7.305,21.694,Unknown,Unknown,Unknown,"Adults, Genetically Engineered, Mecha Pilots, Military",312.0,16,Unknown,https://www.anime-planet.com/characters/andrew-waltfeld,Mobile Suit Gundam SEED
3846,3846,Benawi,Unknown,Male,Grey,5.617,47.559,Unknown,Unknown,Unknown,"Warriors, Military, Lancers, Honorable Fighters, Capes, Analytical, Armor",425.0,4,Unknown,https://www.anime-planet.com/characters/benawi,Utawarerumono
3850,3850,Robin SENA,Unknown,Female,Blonde,3.801,16.522,Unknown,Unknown,Unknown,"Superpowers, Teenagers, Pigtails, Fire Powers, Glasses",646.0,24,Unknown,https://www.anime-planet.com/characters/robin-sena,Witch Hunter Robin
3851,3851,Eruru,Unknown,Female,Black,4.064,19.477,Unknown,Unknown,Unknown,"Animal Ears, Cooks, Tails",606.0,19,Unknown,https://www.anime-planet.com/characters/eruru,Utawarerumono
3853,3853,Aruru,Unknown,Female,Black,4.267,20.932,Unknown,Unknown,Unknown,"Animal Ears, Children, Pigtails, Shy, Tails",575.0,17,Unknown,https://www.anime-planet.com/characters/aruru,Utawarerumono
3855,3855,Sharnid ELIPTON,Unknown,Male,Brown,5.27,15.623,Unknown,Unknown,Unknown,"Teenagers, Ponytail, Military, Hair Antenna, Gunslingers, Flirts, Piercings",456.0,26,Unknown,https://www.anime-planet.com/characters/sharnid-elipton,Chrome Shelled Regios
3857,3857,Raquel CASULL,Unknown,Female,Black,6.888,47.482,Unknown,Unknown,Unknown,"Eternal Optimists, Magic Users, Travelers",334.0,4,Unknown,https://www.anime-planet.com/characters/raquel-casull,Scrapped Princess
3858,3858,Van,Unknown,Male,Black,6.182,25.996,Unknown,Unknown,Unknown,"Hats, Mecha Pilots, Sword Fighters, Travelers, Vengeful",380.0,12,Unknown,https://www.anime-planet.com/characters/van-gun-x-sword,Gun x Sword
3859,3859,Hakuoro,Iceman,Male,Black,4.668,29.034,Unknown,Unknown,Unknown,"Adults, Amnesia, Analytical, Masks, Unconventional Weapon",521.0,10,"Awakening in a strange world, with a mask covering half of his face, Hakuoro finds himself in a difficult situation and struggles to know who to trust. Although in a hard situation, he has a strong sense of right and wrong, standing up for the opressed and weak. As a natural leader, people trust and admire his strong nature, especially the beautiful women surrounding him!",https://www.anime-planet.com/characters/hakuoro,Utawarerumono
3860,3860,Karura,"Karulawaturei, Karurauatsuurei",Female,Black,4.117,32.974,Unknown,Unknown,Unknown,"Animal Ears, Braids, Chokers, Heavy Drinkers, Oversized Weapons, Ponytail, Tails, Warriors",598.0,8,Unknown,https://www.anime-planet.com/characters/karura,Utawarerumono
3865,3865,Junichiro KAGAMI,Unknown,Male,Red,5.582,21.164,Unknown,Unknown,Unknown,"Adults, Glasses, Otaku, Teachers",428.0,17,Unknown,https://www.anime-planet.com/characters/junichiro-kagami,Ultimate Otaku Teacher
3866,3866,Clair AOKI,Unknown,Female,Blonde,5.265,8.024,Brown,Unknown,Unknown,"Teenagers, Ruthless, Orphans, Manipulative, High School Students, Freckles, Femme Fatale",457.0,62,Unknown,https://www.anime-planet.com/characters/clair-aoki,Gleipnir
3867,3867,Hajime,Unknown,Female,Black,3.962,10.845,Unknown,Unknown,Unknown,"Detectives, Superpowers",620.0,43,Unknown,https://www.anime-planet.com/characters/hajime-hamatora,Fw: Hamatora
3873,3873,Chisa KOTEGAWA,Unknown,Female,Brown,3.735,15.537,Unknown,Unknown,Unknown,University Students,657.0,27,Unknown,https://www.anime-planet.com/characters/chisa-kotegawa,Grand Blue
3877,3877,Mujika,Unknown,Female,Purple,2.851,28.598,Unknown,Unknown,Unknown,"Pigtails, Masks, Horns, Demons, Capes, Braids",851.0,11,Unknown,https://www.anime-planet.com/characters/mujika-the-promised-neverland,The Promised Neverland 2nd Season
3881,3881,Krone,Unknown,Female,Black,2.549,476.0,Unknown,Unknown,Unknown,"Adults, Analytical, Dark-skinned, Vengeful",946.0,776,Unknown,https://www.anime-planet.com/characters/krone-the-promised-neverland,The Promised Neverland
3885,3885,Courier,Unknown,Male,Purple,5.138,35.254,Unknown,Unknown,Unknown,"Adults, Artificial Limbs, Bikers, Gunslingers, Smokers",470.0,8,Unknown,https://www.anime-planet.com/characters/courier-akudama-drive,Akudama Drive
3887,3887,Hina TACHIBANA,Unknown,Female,Brown,4.896,2.139,Green,Unknown,Unknown,"Adults, Heavy Drinkers",494.0,231,Unknown,https://www.anime-planet.com/characters/hina-tachibana,Domestic Girlfriend
3891,3891,Evileye,Keeno Fasris INBERUN,Female,Blonde,5.341,46.065,Unknown,Unknown,Unknown,"Magic Users, Masks, Vampires",451.0,5,Unknown,https://www.anime-planet.com/characters/evileye,Overlord II
3894,3894,Kouhei IMAMURA,Unknown,Male,Unknown,4.304,60.578,Unknown,Unknown,Unknown,"Otaku, University Students, Blinding Bangs, Heavy Drinkers",569.0,3,Unknown,https://www.anime-planet.com/characters/kouhei-imamura,Grand Blue
3898,3898,Cutthroat,Unknown,Male,White,6.062,7.042,Unknown,Unknown,Unknown,"Adults, Assassins, Bandages, Knife Fighters, Moles",391.0,72,Unknown,https://www.anime-planet.com/characters/cutthroat,Akudama Drive
3901,3901,Rika KAWAI,Unknown,Female,Multicolored,2.598,9.846,Blue,October 18,Unknown,"Teenagers, Scars, Middle School Students, Idols, Chokers",929.0,49,Unknown,https://www.anime-planet.com/characters/rika-kawai,Wonder Egg Priority
3903,3903,Celica ARFONIA,"The Strongest Mage in the Continent, The World, Witch of Ashes",Female,Blonde,3.59,28.47,Unknown,Unknown,Unknown,"Teachers, Magic Users, Chokers, Gloves",683.0,11,Unknown,https://www.anime-planet.com/characters/celica-arfonia,Akashic Records of Bastard Magic Instructor
3906,3906,Joker,52,Male,Black,3.361,11.775,Unknown,Unknown,Unknown,"Adults, Elemental Powers, Fire Powers, Hats, Psychic Powers, Smokers, Superpowers",727.0,39,Unknown,https://www.anime-planet.com/characters/joker-fire-force,Fire Force
3911,3911,Rui TACHIBANA,Rui Rui,Female,Blue,2.473,7.795,Pink,September 5,Unknown,"Shy, Cooks, Bookworms",969.0,64,Unknown,https://www.anime-planet.com/characters/rui-tachibana,Domestic Girlfriend
3913,3913,Nana HIIRAGI,Unknown,Female,Pink,6.354,4.338,Blue,Unknown,Unknown,"Analytical, High School Students, Pigtails, Teenagers",369.0,120,Unknown,https://www.anime-planet.com/characters/nana-hiiragi,Talentless Nana
3915,3915,Setsuna,Unknown,Female,White,5.124,16.457,Blue,Unknown,Unknown,"Werewolves, Vengeful, Tails, Slaves, Pigtails, Magic Users, Ice Powers, Hair Antenna, Elemental Powers, Bloodthirsty, Animal Ears",471.0,25,Unknown,https://www.anime-planet.com/characters/setsuna-kaifuku-jutsushi-no-yarinaoshi,Redo of Healer
3920,3920,Ghislaine DEDOLDIA,Sword King,Female,Grey,4.012,24.271,Brown,Unknown,Unknown,"Fire Powers, Elemental Powers, Magic Users, Tutors, Tails, Sword Fighters, Scars, Scantily-clad, Muscular, Heterochromia, Hair Antenna, Eye Patches, Dark-skinned, Chokers, Bodyguards, Animal Ears",612.0,14,Unknown,https://www.anime-planet.com/characters/ghislaine-dedoldia,Mushoku Tensei: Jobless Reincarnation
3922,3922,Schwi DOLA,Unknown,Female,Purple,2.691,32.015,Unknown,Unknown,Unknown,"Artificial Intelligence (AI), Scantily-clad",897.0,9,Unknown,https://www.anime-planet.com/characters/schwi-dola,No Game No Life: Zero
3923,3923,Naomi TANIZAKI,Unknown,Female,Black,4.167,1.787,Unknown,Unknown,Unknown,"Brother Complex, Moles",591.0,270,Unknown,https://www.anime-planet.com/characters/naomi-tanizaki,Bungo Stray Dogs
3926,3926,Kyouya ONODERA,Unknown,Male,White,5.071,37.844,Unknown,Unknown,Unknown,"Analytical, High School Students, Immortal, Superpowers",477.0,7,Unknown,https://www.anime-planet.com/characters/kyouya-onodera,Talentless Nana
3928,3928,Saki NIKAIDOU,Number 2,Female,Multicolored,2.772,37.848,Unknown,Unknown,Unknown,"Blinding Bangs, Hot-Headed, Idols, Ponytail, Rapunzel Hair, Undead",870.0,7,Unknown,https://www.anime-planet.com/characters/saki-nikaidou,Curry Meshi x Zombieland Saga
3929,3929,Kyousuke HORI,Unknown,Male,Grey,2.974,21.328,Brown,Unknown,Unknown,"Adults, Blinding Bangs, Smokers",818.0,17,Unknown,https://www.anime-planet.com/characters/kyousuke-hori,Horimiya
